	phrase	category	familiarity_avg	familiarity_std	concreteness_avg	concreteness_std	imageability_avg	imageability_std
aprire libro	dot_concrete	0.	0.	4.055	1.03	0.	0.
spiegare parola	verb_abstract	0.	0.	2.765	1.3399999999999999	0.	0.
aprire pacco	verb_concrete	0.	0.	3.965	1.225	0.	0.
spiegare disegno	dot_abstract	0.	0.	3.2849999999999997	0.97	0.	0.
avere opinione	simple_abstract	0.	0.	2.055	1.1949999999999998	0.	0.
regalare libro	dot_concrete	0.	0.	3.89	0.865	0.	0.
regalare fiore	verb_concrete	0.	0.	3.94	0.71	0.	0.
cambiare storia	simple_abstract	0.	0.	3.0949999999999998	1.53	0.	0.
raccogliere palla	verb_concrete	0.	0.	4.17	0.66	0.	0.
consultare esperto	verb_abstract	0.	0.	2.9450000000000003	1.4300000000000002	0.	0.
aprire busta	verb_concrete	0.	0.	4.07	1.005	0.	0.
presentare libro	dot_abstract	0.	0.	4.1450000000000005	0.9500000000000001	0.	0.
cambiare tavolo	simple_concrete	0.	0.	3.8950000000000005	0.99	0.	0.
raccogliere rivista	dot_concrete	0.	0.	4.17	0.66	0.	0.
avere idea	simple_abstract	0.	0.	1.895	1.225	0.	0.
dare giudizio	simple_abstract	0.	0.	2.255	1.375	0.	0.
dare scrivania	simple_concrete	0.	0.	3.85	0.9149999999999999	0.	0.
cambiare idea	simple_abstract	0.	0.	2.25	1.385	0.	0.
aprire catalogo	dot_concrete	0.	0.	3.785	1.425	0.	0.
presentare domanda	verb_abstract	0.	0.	3.375	1.645	0.	0.
spiegare ragione	verb_abstract	0.	0.	1.95	1.205	0.	0.
avere armadio	simple_concrete	0.	0.	3.425	0.935	0.	0.
avere tavolo	simple_concrete	0.	0.	3.54	0.83	0.	0.
raccogliere catalogo	dot_concrete	0.	0.	3.85	1.21	0.	0.
cambiare giudizio	simple_abstract	0.	0.	2.285	1.4500000000000002	0.	0.
consultare libro	dot_abstract	0.	0.	3.97	0.8250000000000001	0.	0.
spiegare libro	dot_abstract	0.	0.	3.435	0.68	0.	0.
presentare disegno	dot_abstract	0.	0.	3.995	1.24	0.	0.
presentare problema	verb_abstract	0.	0.	3.035	1.53	0.	0.
consultare rivista	dot_abstract	0.	0.	4.02	0.67	0.	0.
regalare disegno	dot_concrete	0.	0.	3.7399999999999998	1.155	0.	0.
dare sedia	simple_concrete	0.	0.	3.705	1.2799999999999998	0.	0.
consultare catalogo	dot_abstract	0.	0.	3.7	1.2200000000000002	0.	0.
cambiare armadio	simple_concrete	0.	0.	3.7800000000000002	1.095	0.	0.
raccogliere moneta	verb_concrete	0.	0.	4.115	0.87	0.	0.
dare idea	simple_abstract	0.	0.	2.22	1.31	0.	0.
raccogliere fiore	verb_concrete	0.	0.	4.17	0.66	0.	0.
presentare programma	verb_abstract	0.	0.	3.41	1.52	0.	0.
avere divano	simple_concrete	0.	0.	3.4450000000000003	1.15	0.	0.
regalare biglietto	verb_concrete	0.	0.	3.79	1.035	0.	0.
spiegare motivo	verb_abstract	0.	0.	2.035	1.13	0.	0.
raccogliere libro	dot_concrete	0.	0.	4.12	0.8150000000000001	0.	0.
