phrase	category	familiarity_avg	familiarity_std	concreteness_avg	concreteness_std	imageability_avg	imageability_std
pagare risotto	simple_concrete	3.9411764705882355	1.2112506048219998	4.264705882352941	1.0657453489407906	4.323529411764706	1.1040190811249093	
annullare decisione	verb_abstract	4.147058823529412	1.2864075134487665	2.7941176470588234	1.2314365538504894	3.235294117647059	1.394502304838788	
organizzare corso	verb_abstract	3.764705882352941	1.3945023048387883	3.411764705882353	1.114546783617436	3.823529411764706	1.2240383556873415	
portare acqua	verb_concrete	4.676470588235294	0.6739081904346824	4.352941176470588	1.0814574300500137	4.588235294117647	0.7323470351758079	
cucinare piatto	verb_concrete	4.235294117647059	1.2141039670911935	4.5588235294117645	0.8468341205228214	4.323529411764706	1.049386045583016	
pagare pizza	simple_concrete	4.735294117647059	0.609185740506117	4.5	0.9471318934179187	4.647058823529412	0.680931582517072	
organizzare aperitivo	dot_abstract	2.0	0.0	4.0	0.0	4.0	0.0	
annullare aperitivo	dot_abstract	4.333333333333333	0.9428090415820637	3.3636363636363638	1.2264306875665492	3.6363636363636362	1.201468339490849	
organizzare giornata	verb_abstract	4.5588235294117645	0.8468341205228214	3.2058823529411766	1.182704074287241	3.911764705882353	1.3583650869124104	
preparare incontro	simple_abstract	4.176470588235294	1.1496953109230625	3.588235294117647	1.2394886768062048	3.8529411764705883	1.1665018832383494	
confezionare pacco	verb_concrete	4.25	0.4330127018922193	4.25	0.82915619758885	4.75	0.4330127018922193	
portare cena	dot_concrete	4.352941176470588	0.935645512975698	4.264705882352941	1.1709428963173167	4.5	0.8828430011649196	
portare pranzo	dot_concrete	4.323529411764706	1.0770490249176796	4.176470588235294	1.1496953109230625	4.205882352941177	1.0226669794537477	
annullare cena	dot_abstract	4.117647058823529	1.131493180098315	3.6470588235294117	1.1345471483521123	3.9705882352941178	1.0977328003836193	
preparare pasta	simple_concrete	4.5	1.0641207361838554	4.470588235294118	0.9150793638884732	4.676470588235294	0.7162232742285835	
confezionare cena	dot_concrete	3.2941176470588234	1.4658747993384837	3.9411764705882355	1.083056037618939	3.5294117647058822	1.3982193322358487	
pagare viaggio	simple_abstract	4.470588235294118	0.9150793638884732	4.264705882352941	1.1195803712161343	4.5588235294117645	0.6503924819851762	
preparare risotto	simple_concrete	4.529411764705882	0.7759356446042893	4.647058823529412	0.7228356310261473	4.676470588235294	0.6739081904346824	
organizzare cena	dot_abstract	4.5	0.7376433061167325	3.676470588235294	1.230030803901558	4.294117647058823	1.0440140793705206	
prenotare cena	dot_abstract	4.352941176470588	0.935645512975698	3.676470588235294	1.1812403310601884	4.235294117647059	0.8764508485736081	
cucinare cena	dot_concrete	4.676470588235294	0.7561741254224963	4.5588235294117645	0.81135966024316	4.823529411764706	0.4518321028158006	
portare camicia	verb_concrete	4.419354838709677	0.8337321279561347	4.387096774193548	0.8299793761463616	4.612903225806452	0.6563545144959936	
cucinare pranzo	dot_concrete	4.676470588235294	0.6739081904346824	4.5588235294117645	0.9136602686475919	4.735294117647059	0.655691082635528	
confezionare regalo	verb_concrete	4.0	1.0954451150103321	4.2	1.16619037896906	4.8	0.39999999999999997	
pagare pasta	simple_concrete	3.9705882352941178	1.3823529411764708	4.323529411764706	1.1303458147397432	4.352941176470588	1.1083202165539277	
pagare festa	simple_abstract	4.147058823529412	1.1914487706193582	4.294117647058823	1.0154515589195334	4.294117647058823	0.9244843320883359	
cucinare ricetta	verb_concrete	4.147058823529412	1.1410096906629892	4.294117647058823	0.9860620361317769	4.382352941176471	0.9397967828629679	
preparare pane	simple_concrete	4.176470588235294	1.0973387121280958	4.5588235294117645	0.8113596602431598	4.529411764705882	0.7759356446042893	
pagare gita	simple_abstract	4.294117647058823	0.9557692240748189	4.088235294117647	1.0945761215251997	4.352941176470588	0.8360394355030528	
prenotare posto	verb_abstract	4.235294117647059	0.9093896961023709	3.7941176470588234	1.157568744362025	4.0	1.0846522890932808	
annullare iscrizione	verb_abstract	4.153846153846154	1.1399159109441668	3.4923076923076923	1.1912898881603655	4.015384615384615	0.968620076227519	
preparare festa	simple_abstract	4.470588235294118	0.8129573506520736	3.9705882352941178	0.9847452378107772	4.352941176470588	0.8705087404087496	
preparare viaggio	simple_abstract	4.411764705882353	0.8086898285216191	3.5	1.118033988749895	3.911764705882353	1.0945761215251997	
prenotare concerto	verb_abstract	4.32258064516129	0.8939617071323237	3.7419354838709675	0.9492863851330426	4.193548387096774	0.7795513531351338	
prenotare pranzo	dot_abstract	4.529411764705882	0.8823529411764705	3.823529411764706	1.0423555968629028	4.235294117647059	0.9411764705882353	
portare aperitivo	dot_concrete	3.8823529411764706	1.2779741754353195	4.264705882352941	1.0929943632977677	4.176470588235294	1.1496953109230625	
