phrase	category	familiarity_avg	familiarity_std	concreteness_avg	concreteness_std	imageability_avg	imageability_std
aprire libro	dot_concrete	4.925925925925926	0.261891400439462	4.7592592592592595	0.5421215247520169	4.833333333333333	0.5000000000000004	
spiegare parola	verb_abstract	4.054054054054054	1.1136971771911628	3.081081081081081	1.1712404691902947	3.7837837837837838	1.1182789657068757	
aprire pacco	verb_concrete	4.351351351351352	0.9362436797669607	4.5675675675675675	0.6384330708658227	4.638888888888889	0.5846545883291437	
spiegare disegno	dot_abstract	3.5	1.3437096247164249	3.314814814814815	1.0509973054564967	3.611111111111111	1.1613636089092707	
avere opinione	simple_abstract	4.405405405405405	0.8529585858410537	2.027027027027027	0.9440134700850259	3.4054054054054053	1.4788501643572383	
regalare libro	dot_concrete	4.425925925925926	0.9149347649656018	4.222222222222222	0.8534606386520672	4.481481481481482	0.8973364029322752	
regalare fiore	verb_concrete	3.891891891891892	1.2899567095980242	4.054054054054054	1.1612189761589642	4.277777777777778	1.070075571347679	
cambiare storia	simple_abstract	3.2162162162162162	1.5091636333312128	2.324324324324324	1.14027151944481	2.7837837837837838	1.3583602025004393	
raccogliere palla	verb_concrete	4.108108108108108	1.109754873926909	4.54054054054054	0.791665865723071	4.666666666666667	0.6666666666666665	
consultare esperto	verb_abstract	3.945945945945946	1.1377062259377941	3.5405405405405403	1.1051377459600473	4.0	1.115008180796555	
aprire busta	verb_concrete	4.45945945945946	0.791665865723071	4.594594594594595	0.6762160001728004	4.75	0.4930066485916347	
presentare libro	dot_abstract	3.5185185185185186	1.4108145892400676	3.314814814814815	1.3027616545897447	3.7037037037037037	1.047565601757848	
cambiare tavolo	simple_concrete	3.7837837837837838	1.188574779853839	3.7837837837837838	1.1182789657068757	4.108108108108108	0.9236760805748684	
raccogliere rivista	dot_concrete	3.6481481481481484	1.307491341341026	4.111111111111111	1.0482201257840675	3.9444444444444446	1.1613636089092707	
avere idea	simple_abstract	4.621621621621622	0.6303731778211135	2.108108108108108	1.0851275621559315	3.324324324324324	1.594823620749398	
dare giudizio	simple_abstract	4.162162162162162	1.1273866818710385	2.4864864864864864	1.2653729633210407	3.4864864864864864	1.3481042068475597	
dare scrivania	simple_concrete	2.864864864864865	1.2768661417316451	3.2432432432432434	1.2607463556422271	3.108108108108108	1.2899567095980242	
cambiare idea	simple_abstract	4.304347826086956	0.952560969574202	2.130434782608696	0.8994852550250957	3.3043478260869565	1.2661060677009597	
aprire catalogo	dot_concrete	4.037037037037037	1.2317251220974734	4.5	0.787635937708768	4.481481481481482	0.876456264162906	
presentare domanda	verb_abstract	3.945945945945946	1.0119808230729217	3.4324324324324325	1.07905215014471	3.864864864864865	1.01773893966285	
spiegare ragione	verb_abstract	4.405405405405405	0.7519150131483001	3.027027027027027	1.2837126580581533	3.675675675675676	1.2314362972858937	
avere armadio	simple_concrete	4.45945945945946	0.94710353880731	3.4864864864864864	1.3481042068475595	4.108108108108108	1.1805583604238679	
avere tavolo	simple_concrete	4.324324324324325	1.0667975327562458	3.4054054054054053	1.304036549385386	4.027027027027027	1.3251514240141906	
raccogliere catalogo	dot_concrete	3.4074074074074074	1.1944085553034889	3.925925925925926	1.0861391332307542	3.7962962962962963	1.1766183438240796	
cambiare giudizio	simple_abstract	3.782608695652174	1.0614396187594524	2.0869565217391304	0.8803676839702864	2.9565217391304346	1.160144701228377	
consultare libro	dot_abstract	4.648148148148148	0.6133516726547851	4.148148148148148	0.9889651794680507	4.277777777777778	1.2082535094961975	
spiegare libro	dot_abstract	4.166666666666667	1.1344765475923408	3.5	1.1979921473804347	4.0	1.0886621079036347	
presentare disegno	dot_abstract	3.111111111111111	1.4358719981466759	3.2222222222222223	1.030402055055078	3.2962962962962963	1.1647544587789915	
presentare problema	verb_abstract	4.054054054054054	1.0383444709350567	3.4324324324324325	1.0537074967361042	3.945945945945946	1.0640551181097042	
consultare rivista	dot_abstract	4.148148148148148	0.9507776039254396	3.9074074074074074	1.0411624293978219	4.203703703703703	1.0070056388387054	
regalare disegno	dot_concrete	3.6296296296296298	1.5311130821181027	3.9444444444444446	1.1290223018278653	4.12962962962963	1.0723165697632164	
dare sedia	simple_concrete	3.810810810810811	1.135135135135135	3.6486486486486487	1.167492490078658	3.7837837837837838	1.2111003514815177	
consultare catalogo	dot_abstract	4.018518518518518	1.2093882864633851	3.9814814814814814	1.0799646897646915	4.166666666666667	0.8975274678557507	
cambiare armadio	simple_concrete	3.675675675675676	1.1867296432486567	3.8378378378378377	1.0530140399339547	4.081081081081081	0.8503855525703927	
raccogliere moneta	verb_concrete	3.675675675675676	1.1867296432486567	4.405405405405405	0.9714703111141311	4.361111111111111	0.9472996058322185	
dare idea	simple_abstract	3.810810810810811	1.226681699233537	2.2432432432432434	1.1247920025235034	3.027027027027027	1.4234804413258046	
raccogliere fiore	verb_concrete	4.162162162162162	1.0270270270270272	4.702702702702703	0.5630450447567474	4.694444444444445	0.6155144390600094	
presentare programma	verb_abstract	3.7567567567567566	1.239123609334881	3.6216216216216215	1.0227506988337565	3.8378378378378377	1.0270270270270272	
avere divano	simple_concrete	4.54054054054054	0.8250993255391217	3.4324324324324325	1.3057159274790444	4.081081081081081	1.1940930829391636	
regalare biglietto	verb_concrete	4.027027027027027	1.1267385721986936	4.054054054054054	1.1377062259377941	4.333333333333333	0.9428090415820637	
spiegare motivo	verb_abstract	4.675675675675675	0.6174951166916681	3.108108108108108	1.133847403427191	3.810810810810811	1.1587000600122173	
raccogliere libro	dot_concrete	4.314814814814815	1.0509973054564972	4.425925925925926	0.7841450133237083	4.518518518518518	0.8550663985640886	
